name,cases,deaths
Algeria,2268,348
Angola,19,2
Benin,37,1
Botswana,15,1
Burkina Faso,543,32
Burundi,5,1
Cameroon,855,21
Cabo Verde,55,1
Central African Republic,12,0
Chad,27,0
Congo,117,5
Côte d'Ivoire,688,6
DR Congo,287,23
Djibouti,591,2
Egypt,2673,196
Equatorial Guinea,51,0
Eritrea,35,0
Eswatini,16,0
Ethiopia,92,3
Gabon,95,1
Gambia,9,1
Ghana,641,8
Guinea,438,1
Guinea-Bissau,46,0
Kenya,234,11
Liberia,73,6
Libya,49,1
Madagascar,111,0
Malawi,16,2
Mali,171,13
Mauritania,7,1
Mauritius,324,9
Morocco,2283,130
Mozambique,31,0
Namibia,16,0
Niger,609,15
Nigeria,442,13
Rwanda,138,0
Sao Tome & Principe,4,0
Senegal,335,2
Seychelles,11,0
Sierra Leone,15,0
Somalia,80,5
South Africa,2605,48
South Sudan,4,0
Sudan,32,5
Togo,81,5
Tunisia,822,37
Uganda,55,0
Tanzania,94,4
Zambia,48,2
Zimbabwe,24,3
Anguilla,3,0
Antigua and Barbuda,23,2
Argentina,2560,115
Aruba,95,1
Bahamas,54,9
Barbados,75,5
Belize,18,2
Bermuda,83,5
Bolivia,465,31
Caribbean Netherlands,4,0
Brazil,30425,1924
British Virgin Islands,3,0
Canada,30081,1193
Cayman Islands,61,1
Chile,8807,105
Colombia,3233,144
Costa Rica,642,4
Cuba,862,27
Curaçao,14,1
Dominica,16,0
Dominican Republic,3755,196
Ecuador,8225,403
El Salvador,164,6
Falkland Islands,11,0
Greenland,11,0
Grenada,14,0
Guatemala,214,7
Guyana,57,6
Haiti,43,3
Honduras,442,41
Jamaica,143,5
Mexico,6297,486
Montserrat,11,0
Nicaragua,12,1
Panama,4016,109
Paraguay,174,8
Peru,12491,274
Puerto Rico,1043,56
Saint Kitts & Nevis,14,0
Saint Lucia,15,0
St. Vincent & Grenadines,12,0
Sint Maarten,57,9
Suriname,10,1
Trinidad and Tobago,114,8
Turks and Caicos,11,1
United States,671331,33284
U.S. Virgin Islands,51,1
Uruguay,552,9
Venezuela,204,9
Afghanistan,794,29
Bahrain,1700,7
Bangladesh,1572,60
Bhutan,5,0
Brunei,136,1
Cambodia,122,0
China,83754,4636
India,13387,437
Indonesia,5516,496
Iran,77995,4869
Iraq,1434,80
Israel,12758,142
Japan,9167,148
Jordan,402,7
Kazakhstan,1470,17
Kuwait,1524,3
Kyrgyzstan,489,5
Laos,19,0
Lebanon,663,21
Malaysia,5182,84
Maldives,25,0
Mongolia,31,0
Myanmar,85,4
Nepal,16,0
Oman,1019,4
Pakistan,7025,135
State of Palestine,294,2
Philippines,5660,362
Qatar,4103,7
Saudi Arabia,6380,83
Singapore,4427,10
South Korea,10635,230
Sri Lanka,238,7
Syria,33,2
Taiwan,395,6
Thailand,2700,47
Timor-Leste,18,0
Turkey,74193,1643
United Arab Emirates,5825,33
Uzbekistan,1380,4
Vietnam,275,0
Yemen,1,0
Albania,518,26
Andorra,682,33
Armenia,1201,19
Austria,14448,410
Azerbaijan,1283,15
Belarus,4204,40
Belgium,34809,4857
Bosnia and Herzegovina,1152,41
Bulgaria,800,38
Croatia,1791,35
Cyprus,735,17
Czech Republic (Czechia),6433,169
Denmark,6879,321
Estonia,1434,36
Faeroe Islands,184,0
Finland,3369,75
France,108847,17920
Georgia,348,3
Germany,133830,3868
Gibraltar,133,4
Greece,2207,105
Channel Islands,234,9
Holy See,8,0
Hungary,1763,156
Iceland,1739,8
Ireland,13271,486
Isle of Man,284,4
Italy,168941,22172
Channel Islands,223,10
Kosovo,449,11
Latvia,675,5
Liechtenstein,81,1
Lithuania,1149,32
Luxembourg,3444,69
Malta,412,3
Moldova,2154,54
Monaco,93,3
Montenegro,303,4
Netherlands,29214,3315
North Macedonia,1081,46
Norway,6791,136
Poland,7918,314
Portugal,18841,629
Romania,7707,387
Russia,27938,232
San Marino,426,38
Serbia,5318,103
Slovakia,977,8
Slovenia,1268,61
Spain,182816,19130
Sweden,12540,1333
Switzerland,26651,1333
Ukraine,4462,125
United Kingdom,103093,13729
Australia,6497,63
Fiji,17,0
French Polynesia,55,0
Guam,135,5
New Caledonia,18,0
New Zealand,1086,11
Northern Mariana Islands,13,2
Papua New Guinea,7,0
Cases on an international conveyance Japan,696,7
